date,total_users,users_joined,users_left,total_messages,messages_created,messages_deleted,public_total_messages,public_messages_created,public_messages_deleted,private_total_messages,private_messages_created,private_messages_deleted
2026-05-10,674,4,0,67194,0,0,6976,0,0,60218,0,0
2026-05-11,677,5,2,67194,0,0,6976,0,0,60218,0,0
2026-05-12,682,8,1,67194,0,0,6976,0,0,60218,0,0
2026-05-13,691,7,0,67194,0,0,6976,0,0,60218,0,0
2026-05-14,697,11,1,67194,0,0,6976,0,0,60218,0,0
2026-05-15,707,7,1,67194,0,0,6976,0,0,60218,0,0
2026-05-16,712,9,1,67194,0,0,6976,0,0,60218,0,0
2026-05-17,720,6,1,67194,0,0,6976,0,0,60218,0,0
2026-05-18,725,3,0,67194,0,0,6976,0,0,60218,0,0
2026-05-19,728,4,0,67194,0,0,6976,0,0,60218,0,0
2026-05-20,730,7,1,67194,0,0,6976,0,0,60218,0,0
2026-05-21,737,6,0,67194,0,0,6976,0,0,60218,0,0
2026-05-22,724,10,20,67194,0,0,6976,0,0,60218,0,0
2026-05-23,734,6,0,67194,0,0,6976,0,0,60218,0,0
2026-05-24,739,8,1,67194,0,0,6976,0,0,60218,0,0
2026-05-25,746,8,0,67194,0,0,6976,0,0,60218,0,0
2026-05-26,755,7,1,67194,0,0,6976,0,0,60218,0,0
2026-05-27,760,9,0,67194,0,0,6976,0,0,60218,0,0
2026-05-28,769,8,1,67194,0,0,6976,0,0,60218,0,0
2026-05-29,776,7,0,67194,0,0,6976,0,0,60218,0,0
2026-05-30,783,5,0,67194,0,0,6976,0,0,60218,0,0
2026-05-31,788,8,0,67194,0,0,6976,0,0,60218,0,0
2026-06-01,797,6,1,67194,0,0,6976,0,0,60218,0,0
2026-06-02,801,8,0,67194,0,0,6976,0,0,60218,0,0
2026-06-03,810,5,0,67194,0,0,6976,0,0,60218,0,0
2026-06-04,816,10,0,67194,0,0,6976,0,0,60218,0,0
2026-06-05,825,9,0,67194,0,0,6976,0,0,60218,0,0
2026-06-06,834,6,0,67194,0,0,6976,0,0,60218,0,0
2026-06-07,840,9,1,67194,0,0,6976,0,0,60218,0,0
2026-06-08,848,2,0,67194,0,0,6976,0,0,60218,0,0
2026-06-09,849,4,0,67194,0,0,6976,0,0,60218,0,0
2026-06-10,854,13,1,67194,0,0,6976,0,0,60218,0,0
2026-06-11,866,16,1,67194,0,0,6976,0,0,60218,0,0
2026-06-12,882,11,0,67194,0,0,6976,0,0,60218,0,0
2026-06-13,891,4,0,67194,0,0,6976,0,0,60218,0,0
2026-06-14,895,6,1,67194,0,0,6976,0,0,60218,0,0
2026-06-15,898,6,2,67194,0,0,6976,0,0,60218,0,0
2026-06-16,905,7,1,67194,0,0,6976,0,0,60218,0,0
2026-06-17,912,6,0,67194,0,0,6976,0,0,60218,0,0
2026-06-18,918,13,0,67194,0,0,6976,0,0,60218,0,0
2026-06-19,932,11,2,67194,0,0,6976,0,0,60218,0,0
2026-06-20,931,8,10,67194,0,0,6976,0,0,60218,0,0
2026-06-21,937,8,0,67194,0,0,6976,0,0,60218,0,0
2026-06-22,948,7,0,67194,0,0,6976,0,0,60218,0,0
2026-06-23,953,12,1,67194,0,0,6976,0,0,60218,0,0
2026-06-24,963,15,4,67194,0,0,6976,0,0,60218,0,0
2026-06-25,975,9,1,67194,0,0,6976,0,0,60218,0,0
2026-06-26,982,12,0,67194,0,0,6976,0,0,60218,0,0
2026-06-27,995,15,0,67194,0,0,6976,0,0,60218,0,0
2026-06-28,1006,18,5,67194,0,0,6976,0,0,60218,0,0
2026-06-29,1021,15,0,67194,0,0,6976,0,0,60218,0,0
2026-06-30,1049,76,4,67194,0,0,6976,0,0,60218,0,0
2026-07-01,1117,45,1,67194,0,0,6976,0,0,60218,0,0
2026-07-02,1156,28,4,67194,0,0,6976,0,0,60218,0,0
2026-07-03,1179,35,2,67194,0,0,6976,0,0,60218,0,0
2026-07-04,1211,18,1,67194,0,0,6976,0,0,60218,0,0
2026-07-05,1228,25,0,67194,0,0,6976,0,0,60218,0,0
2026-07-06,1252,1,0,67194,0,0,6976,0,0,60218,0,0
