listing_type,id,name,project_key,project_name
map,daegu-3,Daegu (30km×30km),kimth9/sb_korean_map_pack,sb_korean_map_pack
map,daegu-4,Daegu (40km×40km),kimth9/sb_korean_map_pack,sb_korean_map_pack
map,daejeon-3,Daejeon (30km×30km),kimth9/sb_korean_map_pack,sb_korean_map_pack
map,daejeon-4,Daejeon (40km×40km),kimth9/sb_korean_map_pack,sb_korean_map_pack
map,gwangju-3,Gwangju (30km×30km),kimth9/sb_korean_map_pack,sb_korean_map_pack
map,gwangju-4,Gwangju (40km×40km),kimth9/sb_korean_map_pack,sb_korean_map_pack
map,incheon-3,Incheon (30km×30km),kimth9/sb_korean_map_pack,sb_korean_map_pack
map,incheon-4,Incheon (40km×40km),kimth9/sb_korean_map_pack,sb_korean_map_pack
map,jeju-3,Jeju (30km×30km),kimth9/sb_korean_map_pack,sb_korean_map_pack
map,jeju-4,Jeju (40km×40km),kimth9/sb_korean_map_pack,sb_korean_map_pack
map,jeju-f,Jeju (Full Island),kimth9/sb_korean_map_pack,sb_korean_map_pack
map,sejong-3,Sejong (30km×30km),kimth9/sb_korean_map_pack,sb_korean_map_pack
map,sejong-4,Sejong (40km×40km),kimth9/sb_korean_map_pack,sb_korean_map_pack
map,seoul-3,Seoul (30km×30km),kimth9/sb_korean_map_pack,sb_korean_map_pack
map,seoul-4,Seoul (40km×40km),kimth9/sb_korean_map_pack,sb_korean_map_pack
map,ulsan-3,Ulsan (30km×30km),kimth9/sb_korean_map_pack,sb_korean_map_pack
map,ulsan-4,Ulsan (40km×40km),kimth9/sb_korean_map_pack,sb_korean_map_pack
mod,kr-ktp,Korean Transit Pack,kimth9/sb_korean_transit_pack_v2,sb_korean_transit_pack_v2
map,beijing,Beijing,kronifer/sb-chinese-maps,sb-chinese-maps
map,chongqing,Chongqing,kronifer/sb-chinese-maps,sb-chinese-maps
map,guangzhou,Guangzhou,kronifer/sb-chinese-maps,sb-chinese-maps
