rank,listing_type,id,name,author,author_alias,attribution_link,total_downloads,adjusted_total_downloads,latest_snapshot
73,map,edmonton,Edmonton,devenperez,devenperez,https://github.com/devenperez,394,394,snapshot_2026_07_06.json
74,map,quebec-city,Quebec City,devenperez,devenperez,https://github.com/devenperez,392,392,snapshot_2026_07_06.json
75,map,yukina-hiroshima-kure,広島 (Hiroshima),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,382,382,snapshot_2026_07_06.json
76,map,greater-newyork,Greater NYC,chasemanning040911-afk,lechicken,https://github.com/chasemanning040911-afk,355,355,snapshot_2026_07_06.json
77,map,oslo-no,Oslo,rslurry,slurry,https://github.com/rslurry,346,346,snapshot_2026_07_06.json
78,map,yukina-pl-gdansk,Gdańsk,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,335,335,snapshot_2026_07_06.json
79,map,bangkok,Bangkok,nzh0172,naz,https://github.com/nzh0172,333,333,snapshot_2026_07_06.json
80,mod,chinese-trains,Chinese Trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,330,330,snapshot_2026_07_06.json
81,map,bilbao,Bilbao,Maximilian284,max02,https://github.com/Maximilian284,325,325,snapshot_2026_07_06.json
82,map,yukina-cz-brno,Brno,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,322,322,snapshot_2026_07_06.json
83,map,winnipeg,Winnipeg,devenperez,devenperez,https://github.com/devenperez,318,318,snapshot_2026_07_06.json
84,map,valencia,Valencia,Maximilian284,max02,https://github.com/Maximilian284,317,317,snapshot_2026_07_06.json
85,mod,japanese-trains,Japanese Trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,315,315,snapshot_2026_07_06.json
86,mod,kr-ktp,Korean Transit Pack,kimth9,kimth9,https://github.com/kimth9,314,314,snapshot_2026_07_06.json
87,map,greater-kuala-lumpur,Greater Kuala Lumpur,nzh0172,naz,https://github.com/nzh0172,313,313,snapshot_2026_07_06.json
88,map,daytonatti,Daytonatti,soccerjonj,soccerjonj,https://github.com/soccerjonj,309,309,snapshot_2026_07_06.json
89,map,cairo,Cairo,ryandicicco,ryandicicco,https://github.com/ryandicicco,305,305,snapshot_2026_07_06.json
90,map,mfn-madisonwi,Madison,crumpetime,muffintime,https://github.com/crumpetime,305,305,snapshot_2026_07_06.json
91,mod,induced-demand,Induced Demand,martig7,martig7,https://github.com/martig7,302,302,snapshot_2026_07_06.json
92,map,lima,Lima,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,285,285,snapshot_2026_07_06.json
93,map,dubai,Dubai,ryandicicco,ryandicicco,https://github.com/ryandicicco,276,276,snapshot_2026_07_06.json
94,map,tijuana-san-diego,Tijuana-San Diego,rslurry,slurry,https://github.com/rslurry,269,269,snapshot_2026_07_06.json
95,map,orlando,Orlando,rslurry,slurry,https://github.com/rslurry,267,267,snapshot_2026_07_06.json
96,map,yukina-kobe-akashi,神戸 (Kōbe),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,266,266,snapshot_2026_07_06.json
