rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
77,map,bergen-stavanger-no,Bergen-Stavanger,rslurry,slurry,https://github.com/rslurry,3,3,103,103,100,100,snapshot_2026_07_06.json,snapshot_2026_07_05.json
78,mod,copy-paste,Copy Paste,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,3,3,63,63,60,60,snapshot_2026_07_06.json,snapshot_2026_07_05.json
79,map,yukina-lv-liepaja,Liepāja,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,3,3,14,14,11,11,snapshot_2026_07_06.json,snapshot_2026_07_05.json
80,map,los-angeles-county,Los Angeles County,rslurry,slurry,https://github.com/rslurry,2,2,1182,1182,1180,1180,snapshot_2026_07_06.json,snapshot_2026_07_05.json
81,map,shanghai,Shanghai,Kronifer,Kronifer,https://github.com/Kronifer,2,2,746,746,744,744,snapshot_2026_07_06.json,snapshot_2026_07_05.json
82,map,dublin,Dublin,Kronifer,Kronifer,https://github.com/Kronifer,2,2,545,545,543,543,snapshot_2026_07_06.json,snapshot_2026_07_05.json
83,map,ottawa,Ottawa,devenperez,devenperez,https://github.com/devenperez,2,2,512,512,510,510,snapshot_2026_07_06.json,snapshot_2026_07_05.json
84,map,baltimore-dc-corridor,Baltimore-DC Corridor,rslurry,slurry,https://github.com/rslurry,2,2,490,490,488,488,snapshot_2026_07_06.json,snapshot_2026_07_05.json
85,map,mfn-lasvegas,Las Vegas,crumpetime,muffintime,https://github.com/crumpetime,2,2,444,444,442,442,snapshot_2026_07_06.json,snapshot_2026_07_05.json
86,map,puerto-rico,Puerto Rico,rslurry,slurry,https://github.com/rslurry,2,2,419,419,417,417,snapshot_2026_07_06.json,snapshot_2026_07_05.json
87,map,quebec-city,Quebec City,devenperez,devenperez,https://github.com/devenperez,2,2,392,392,390,390,snapshot_2026_07_06.json,snapshot_2026_07_05.json
88,map,greater-newyork,Greater NYC,chasemanning040911-afk,lechicken,https://github.com/chasemanning040911-afk,2,2,355,355,353,353,snapshot_2026_07_06.json,snapshot_2026_07_05.json
89,map,yukina-pl-gdansk,Gdańsk,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,2,2,335,335,333,333,snapshot_2026_07_06.json,snapshot_2026_07_05.json
90,map,cairo,Cairo,ryandicicco,ryandicicco,https://github.com/ryandicicco,2,2,305,305,303,303,snapshot_2026_07_06.json,snapshot_2026_07_05.json
91,map,sejong-4,Sejong (40km×40km),kimth9,kimth9,https://github.com/kimth9,2,2,203,203,201,201,snapshot_2026_07_06.json,snapshot_2026_07_05.json
92,map,trondheim-val,Trondheim,Valdotorium,Valdotorium,https://github.com/Valdotorium,2,2,199,199,197,197,snapshot_2026_07_06.json,snapshot_2026_07_05.json
93,map,anchorage-ak,Anchorage,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,2,2,179,179,177,177,snapshot_2026_07_06.json,snapshot_2026_07_05.json
94,map,bologna,Bologna,Maximilian284,max02,https://github.com/Maximilian284,2,2,128,128,126,126,snapshot_2026_07_06.json,snapshot_2026_07_05.json
95,map,yukina-ee-tallinn,Tallinn,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,2,2,127,127,125,125,snapshot_2026_07_06.json,snapshot_2026_07_05.json
96,map,busan-4,Busan (40km×40km),kimth9,kimth9,https://github.com/kimth9,1,1,864,864,863,863,snapshot_2026_07_06.json,snapshot_2026_07_05.json
97,map,yukina-fukuoka,福岡 (Fukuoka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,1,618,618,617,617,snapshot_2026_07_06.json,snapshot_2026_07_05.json
98,mod,cinematic-camera,Cinematic Camera,TransitCore,TransitCore,https://github.com/TransitCore,1,1,504,504,503,503,snapshot_2026_07_06.json,snapshot_2026_07_05.json
