listing_type,id,name,author,author_alias,attribution_link,project_key,project_name,total_downloads,2026_03_11,2026_03_12,2026_03_13,2026_03_14,2026_03_15,2026_03_16,2026_03_17,2026_03_18,2026_03_19,2026_03_20,2026_03_21,2026_03_22,2026_03_23,2026_03_24,2026_03_25,2026_03_26,2026_03_27,2026_03_28,2026_03_29,2026_03_30,2026_03_31,2026_04_01,2026_04_02,2026_04_03,2026_04_04,2026_04_05,2026_04_06,2026_04_07,2026_04_08,2026_04_09,2026_04_10,2026_04_11,2026_04_12,2026_04_13,2026_04_14,2026_04_15,2026_04_16,2026_04_17,2026_04_18,2026_04_19,2026_04_20,2026_04_21,2026_04_22,2026_04_23,2026_04_24,2026_04_25,2026_04_26,2026_04_27,2026_04_28,2026_04_29,2026_04_30,2026_05_01,2026_05_02,2026_05_03,2026_05_04,2026_05_05,2026_05_06,2026_05_07,2026_05_08,2026_05_09,2026_05_10,2026_05_11,2026_05_12,2026_05_13,2026_05_14,2026_05_15,2026_05_16,2026_05_17,2026_05_18,2026_05_19,2026_05_20,2026_05_21,2026_05_22,2026_05_23,2026_05_24,2026_05_25,2026_05_26,2026_05_27,2026_05_28,2026_05_29,2026_05_30,2026_05_31,2026_06_01,2026_06_02,2026_06_03,2026_06_04,2026_06_05,2026_06_06,2026_06_07,2026_06_08,2026_06_09,2026_06_10,2026_06_11,2026_06_12,2026_06_13,2026_06_14,2026_06_15,2026_06_16,2026_06_17,2026_06_18,2026_06_19,2026_06_20,2026_06_21,2026_06_22,2026_06_23,2026_06_24,2026_06_25,2026_06_26,2026_06_27,2026_06_28,2026_06_29,2026_06_30,2026_07_01,2026_07_02,2026_07_03,2026_07_04,2026_07_05,2026_07_06
map,berlin-val,Berlin,Valdotorium,Valdotorium,https://github.com/Valdotorium,valdotorium/railyard-maps-2,Railyard-Maps-2,1345,0,0,0,0,0,0,8,14,11,9,10,4,8,3,6,13,14,16,17,35,24,25,12,15,24,17,18,24,39,24,27,23,38,23,17,20,14,18,18,16,23,10,14,8,9,23,22,24,17,11,10,10,14,12,16,17,8,8,8,9,8,8,11,13,11,8,10,13,6,14,12,10,3,10,7,7,11,5,7,10,6,12,6,8,4,8,13,7,6,10,12,10,7,5,8,6,12,4,6,7,4,9,6,11,4,7,7,8,10,18,5,5,12,4,3,4,1,9
mod,station-dots,Station Dots,nzh0172,naz,https://github.com/nzh0172,nzh0172/sb-station-dots,sb-station-dots,1312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,10,22,26,24,28,23,22,25,29,18,18,12,10,6,4,9,16,10,7,7,6,18,23,23,14,11,10,8,12,10,10,4,15,9,6,13,15,38,48,33,36,18,17,25,13,13,19,17,14,9,14,11,20,7,15,11,15,15,21,4,12,6,8,7,8,16,9,10,10,15,10,18,6,1,4,4,14,9,6,9,6,7,17,9,15,7,8,11,21,8,7,7,8,13
map,zurich,Zurich,Kronifer,Kronifer,https://github.com/Kronifer,kronifer/sb-zurich-map,sb-zurich-map,1209,102,9,9,9,5,5,4,7,5,0,11,7,8,4,7,14,15,11,17,26,23,21,15,12,6,15,13,19,32,21,13,20,29,19,11,23,16,11,12,15,12,6,17,11,12,15,17,18,9,10,7,7,15,9,8,6,7,9,15,5,13,11,9,8,8,6,6,8,9,7,8,9,4,1,14,8,2,3,5,7,11,7,8,3,7,2,12,4,5,8,4,3,8,4,5,8,5,9,6,5,4,6,4,4,3,8,5,6,9,16,4,7,10,5,2,4,1,5
map,los-angeles-county,Los Angeles County,rslurry,slurry,https://github.com/rslurry,rslurry/subwaybuilder-maps,subwaybuilder-maps,1182,0,0,0,0,20,4,11,6,8,9,7,7,8,3,5,6,9,8,11,26,11,15,13,6,9,9,6,14,28,13,18,13,25,17,13,9,12,6,66,38,64,29,17,7,11,15,11,27,50,27,24,25,17,21,18,10,13,10,8,11,12,12,9,13,7,7,11,9,1,9,6,5,2,6,4,4,3,1,9,5,2,7,4,7,4,1,5,4,5,1,2,6,5,1,6,2,5,3,6,6,5,3,3,6,4,5,2,2,3,5,5,8,3,1,1,3,0,2
mod,mode-manager,Mode Manager,Mpfk,Mpfk,https://github.com/Mpfk,mpfk/subway-builder-mode-manager,subway-builder-mode-manager,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,37,26,45,26,34,26,75,56,28,22,29,28,38,26,10,25,23,16,34,23,14,21,10,22,20,17,22,23,20,21,16,14,15,17,12,19,11,12,15,10,14,12,9,14,22,8,14,12,21,37,7,14,13,6,13
map,vancouver,Vancouver,devenperez,devenperez,https://github.com/devenperez,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,1158,180,8,7,0,18,1,3,5,9,13,13,11,8,9,15,4,6,9,10,25,16,13,20,10,8,10,15,15,30,26,13,14,20,17,8,17,8,5,17,7,8,11,8,7,7,6,12,11,12,10,7,6,10,11,12,9,7,6,8,12,10,14,6,6,3,3,7,5,2,4,6,7,2,7,4,2,6,5,14,3,5,5,7,3,3,5,6,3,8,5,5,9,8,4,6,5,10,5,4,5,12,6,4,3,4,10,6,4,14,9,6,2,10,4,2,4,3,5
mod,track-visualizer,track height visualizer,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,seanyushoumori/track-visualizer,track-visualizer,1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,62,35,70,45,49,48,40,29,31,19,62,49,54,40,31,37,40,20,19,24,15,16,21,22,25,21,18,32,43,21,24,20,16,25
map,yukina-cz-praha,Praha,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,56,42,15,26,32,20,52,36,28,27,12,15,14,11,9,12,10,8,10,20,15,9,56,21,18,14,17,16,8,12,8,4,11,11,8,4,8,11,7,11,10,3,13,8,8,7,10,5,7,7,5,11,29,43,22,22,25,12,21,6,8,14,10,12,6,10,6,5,9,4,6
map,barcelona,Barcelona,Maximilian284,max02,https://github.com/Maximilian284,maximilian284/subwaybuilder-es-maps,subwaybuilder-es-maps,1121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,40,25,29,30,16,20,126,108,140,0,0,0,0,0,0,0,0,0,0,8,6,9,6,11,21,16,10,12,11,6,8,14,10,4,9,7,11,10,9,6,6,6,11,8,6,8,5,9,6,8,5,9,5,5,6,5,5,4,10,8,8,4,5,5,5,3,3,15,11,5,10,4,6,6,11,5,3,6,3,6,2,5,6,8,2,8,4,8,6,4,7,6,3,2,3,4
map,sydney,Sydney,WillBarouch,WillBarouch,https://github.com/WillBarouch,willbarouch/subwaybuilder-sydney,subwaybuilder-sydney,1054,0,0,0,0,0,0,0,0,0,0,0,5,21,11,10,20,21,20,17,30,15,18,21,13,8,18,13,11,39,18,20,28,29,16,13,19,7,10,12,20,15,13,9,6,8,7,13,13,5,13,4,3,16,10,11,7,11,6,13,8,5,8,12,9,4,5,6,5,13,9,3,4,1,17,3,3,2,5,8,9,13,5,6,4,7,5,6,7,3,6,5,2,5,8,4,5,6,3,8,3,9,7,11,10,5,9,6,6,7,8,5,3,11,4,1,7,3,6
