listing_type,id,name,author,author_alias,attribution_link,project_key,project_name,total_downloads,2026_03_11,2026_03_12,2026_03_13,2026_03_14,2026_03_15,2026_03_16,2026_03_17,2026_03_18,2026_03_19,2026_03_20,2026_03_21,2026_03_22,2026_03_23,2026_03_24,2026_03_25,2026_03_26,2026_03_27,2026_03_28,2026_03_29,2026_03_30,2026_03_31,2026_04_01,2026_04_02,2026_04_03,2026_04_04,2026_04_05,2026_04_06,2026_04_07,2026_04_08,2026_04_09,2026_04_10,2026_04_11,2026_04_12,2026_04_13,2026_04_14,2026_04_15,2026_04_16,2026_04_17,2026_04_18,2026_04_19,2026_04_20,2026_04_21,2026_04_22,2026_04_23,2026_04_24,2026_04_25,2026_04_26,2026_04_27,2026_04_28,2026_04_29,2026_04_30,2026_05_01,2026_05_02,2026_05_03,2026_05_04,2026_05_05,2026_05_06,2026_05_07,2026_05_08,2026_05_09,2026_05_10,2026_05_11,2026_05_12,2026_05_13,2026_05_14,2026_05_15,2026_05_16,2026_05_17,2026_05_18,2026_05_19,2026_05_20,2026_05_21,2026_05_22,2026_05_23,2026_05_24,2026_05_25,2026_05_26,2026_05_27,2026_05_28,2026_05_29,2026_05_30,2026_05_31,2026_06_01,2026_06_02,2026_06_03,2026_06_04,2026_06_05,2026_06_06,2026_06_07,2026_06_08,2026_06_09,2026_06_10,2026_06_11,2026_06_12,2026_06_13,2026_06_14,2026_06_15,2026_06_16,2026_06_17,2026_06_18,2026_06_19,2026_06_20,2026_06_21,2026_06_22,2026_06_23,2026_06_24,2026_06_25,2026_06_26,2026_06_27,2026_06_28,2026_06_29,2026_06_30,2026_07_01,2026_07_02,2026_07_03,2026_07_04,2026_07_05,2026_07_06
map,edmonton,Edmonton,devenperez,devenperez,https://github.com/devenperez,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,394,112,5,3,0,13,2,0,3,2,0,0,2,5,4,5,2,2,2,1,10,2,10,5,5,2,2,6,10,10,10,6,6,8,2,7,6,2,3,0,2,1,7,0,1,3,3,2,5,2,1,1,0,2,3,4,0,0,0,3,2,2,1,0,0,1,2,0,0,1,1,3,1,1,3,1,1,0,1,2,1,1,2,2,1,1,2,0,2,1,2,0,2,0,3,4,0,3,1,0,0,5,1,0,1,0,2,2,4,2,2,1,3,1,2,1,1,0,0
map,quebec-city,Quebec City,devenperez,devenperez,https://github.com/devenperez,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,392,106,4,5,0,13,0,1,3,2,0,0,0,3,5,5,3,0,5,2,7,5,10,5,2,3,4,6,7,8,9,6,6,12,2,4,2,0,0,3,3,1,4,2,2,1,2,2,2,2,1,3,2,2,3,3,0,3,1,3,6,2,2,1,0,0,2,2,3,1,1,3,1,0,2,1,3,2,2,1,2,2,2,1,1,3,2,2,1,3,3,1,2,1,1,4,0,2,0,2,0,1,3,0,1,0,2,0,1,2,0,2,1,2,2,1,2,0,2
map,yukina-hiroshima-kure,広島 (Hiroshima),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,382,31,6,4,5,10,5,3,5,3,2,3,2,4,6,8,5,6,3,3,16,9,8,3,3,4,19,20,22,13,7,8,11,5,10,3,9,4,6,0,1,4,0,4,0,2,1,0,1,4,3,0,2,2,1,4,2,1,1,2,1,0,2,1,1,1,1,0,4,0,5,1,0,1,2,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,2,0,1,0,0,3,0,3,0,0,0,2,3,0,0,0,1,0,2,0,1,1,0,3,1,1,0,0,1
map,greater-newyork,Greater NYC,chasemanning040911-afk,lechicken,https://github.com/chasemanning040911-afk,lechicken-nyc/greater-new-york,greater-new-york,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,45,28,17,17,20,14,9,12,7,6,4,5,5,8,7,1,5,3,1,1,3,2,4,1,9,4,2,0,3,2,2,1,2,6,1,4,3,3,3,8,7,2,6,4,3,3,2,4,2,4,4,2,2,4,2,1,1,3,0,1,2,0,2,3,2
map,oslo-no,Oslo,rslurry,slurry,https://github.com/rslurry,rslurry/subwaybuilder-maps,subwaybuilder-maps,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,35,31,20,17,19,14,19,10,16,9,3,9,4,5,6,4,3,5,7,4,5,2,5,6,4,4,4,4,4,1,9,7,2,3,5,9,4,2,8,3,4,3,3,3
map,yukina-pl-gdansk,Gdańsk,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,16,8,8,6,3,12,17,16,8,8,5,6,16,14,13,4,5,6,3,0,0,4,3,3,3,14,15,8,2,5,3,6,7,3,3,5,3,3,4,1,2,3,6,3,2,4,2,2,0,2,3,2,3,2,3,2,0,3,1,2
map,bangkok,Bangkok,nzh0172,naz,https://github.com/nzh0172,nzh0172/sb-bangkok,sb-bangkok,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,25,14,8,10,7,15,10,7,6,11,6,6,2,5,2,2,1,2,5,3,1,2,5,3,1,3,5,3,4,4,1,4,5,4,5,2,2,0,3,1,1,1,2,4,3,2,2,3,3,1,2,2,1,1,4,2,3,1,1,3,1,3,3,4,1,1,2,0,2,0,4,1,0,0,2,5,3,1,0,3,1,0,3,9,2,2,6,0,1,2,1,3
mod,chinese-trains,Chinese Trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,kaicardenas0618/chinese-trains,chinese-trains,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,12,10,13,18,9,7,11,8,10,3,5,4,9,5,7,3,7,11,8,8,5,7,2,3,4,4,6,1,4,5,4,4,6,1,2,0,1,9,6,11,6,5,5,3,6,3,4,5,5,3,1,4,3,3
map,bilbao,Bilbao,Maximilian284,max02,https://github.com/Maximilian284,maximilian284/subwaybuilder-es-maps,subwaybuilder-es-maps,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,12,9,6,6,4,4,44,32,47,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,6,5,3,3,1,2,3,4,3,0,2,3,5,3,2,3,0,0,4,1,4,1,2,2,2,0,1,2,1,3,0,0,0,0,2,2,3,0,0,1,3,0,2,1,2,3,2,3,3,0,3,0,0,2,4,2,0,1,0,1,1,0,3,5,5,3,2,0,1,2,1,1
map,yukina-cz-brno,Brno,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,4,12,8,6,3,16,9,11,5,4,3,3,1,1,1,1,1,5,2,5,3,15,8,4,4,5,3,2,3,0,2,2,2,1,2,2,0,2,1,8,1,4,4,1,1,0,3,2,1,1,5,7,11,4,7,8,6,2,2,4,6,8,9,4,2,2,1,6,3,4
map,winnipeg,Winnipeg,devenperez,devenperez,https://github.com/devenperez,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,318,106,4,2,0,8,0,0,3,3,0,2,3,5,2,2,5,2,0,1,5,3,7,4,3,2,3,2,9,6,9,4,5,6,3,3,2,2,0,2,1,0,3,1,1,3,1,1,2,2,1,0,0,2,2,2,0,0,0,1,2,0,2,1,0,0,2,0,0,1,1,2,1,0,2,1,0,0,1,2,2,0,3,1,1,2,2,0,0,1,1,0,3,0,2,2,0,3,1,0,1,2,1,0,2,1,2,0,2,2,1,1,4,1,2,1,1,1,0
map,valencia,Valencia,Maximilian284,max02,https://github.com/Maximilian284,maximilian284/subwaybuilder-es-maps,subwaybuilder-es-maps,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,9,5,5,6,2,6,54,36,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,4,1,4,0,1,1,1,6,3,2,2,0,6,1,1,0,1,3,1,2,2,2,2,1,2,0,0,1,2,1,1,4,1,1,2,0,0,0,1,4,3,3,3,2,0,3,0,1,1,3,2,1,2,0,1,1,1,3,3,3,0,1,2,0,4,1,1
mod,japanese-trains,Japanese Trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,kaicardenas0618/japanese-trains,japanese-trains,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,3,4,10,8,19,12,7,6,7,7,15,10,8,5,14,15,25,9,9,7,11,18,13,8,10,15,13
mod,kr-ktp,Korean Transit Pack,kimth9,kimth9,https://github.com/kimth9,kimth9/sb_korean_transit_pack_v2,sb_korean_transit_pack_v2,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,12,21,18,8,14,12,6,5,10,8,6,9,5,4,3,7,6,6,7,3,3,3,4,1,2,5,1,3,0,2,3,2,4,2,1,3,1,2,1,5,2,1,2,1,2,3,4,4,1,2,4,3,2,7,4,3,0,3,1,0,7,1,2,4,3,3,2,3,3,2,1,1,1,2,0
map,greater-kuala-lumpur,Greater Kuala Lumpur,nzh0172,naz,https://github.com/nzh0172,nzh0172/sb-malaysia-map-pack,sb-malaysia-map-pack,313,0,0,0,0,0,0,0,0,7,6,5,6,9,1,8,3,6,5,5,5,2,10,5,4,3,8,3,1,15,6,6,6,0,17,3,3,1,6,6,7,4,2,2,2,3,6,3,0,0,3,0,6,3,1,6,3,1,3,4,3,5,1,1,1,2,1,4,0,3,2,2,1,0,3,0,0,0,1,1,1,0,1,0,2,1,1,1,2,0,1,1,1,1,1,0,1,2,2,2,1,3,3,0,2,0,1,0,1,4,4,1,1,9,0,0,1,0,0
map,daytonatti,Daytonatti,soccerjonj,soccerjonj,https://github.com/soccerjonj,soccerjonj/daytonnati,Daytonnati,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,7,7,4,3,3,5,1,7,12,6,4,2,3,3,2,1,8,6,5,5,1,1,24,3,6,1,0,1,0,0,2,3,5,6,3,3,11,4,4,6,4,1,4,3,4,8,0,2,2,0,5,12,4,1,1,2,1,9,2,3,6,2,3,1,8,3,3,2,0,1,2,0,0,0,2,0,0,2,2,1,0,1,0,1,1,2,0,2,0,0,1,0,5
map,cairo,Cairo,ryandicicco,ryandicicco,https://github.com/ryandicicco,ryandicicco/subway-builder-maps,Subway-Builder-Maps,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,8,5,4,10,5,12,3,1,4,5,1,3,12,7,24,26,19,5,5,1,2,3,4,4,1,1,2,2,3,3,1,3,1,2,2,2,3,1,2,3,5,2,0,1,5,0,1,1,2,6,0,2,0,3,2,0,0,0,2,1,0,1,0,1,5,1,0,0,0,1,1,2,1,4,1,0,0,0,2,1,1,2,3,1,2,0,0,1,1,1,1,0,1,3,1,0,1,0,0,0,0,2
map,mfn-madisonwi,Madison,crumpetime,muffintime,https://github.com/crumpetime,crumpetime/sb-maps-msn,sb-maps-msn,305,0,0,0,3,11,9,8,6,7,3,11,10,5,1,7,4,5,5,3,6,5,3,8,3,1,3,3,2,9,2,6,5,6,8,2,4,6,2,4,3,2,1,5,3,3,1,2,3,1,1,1,1,3,4,4,1,0,1,2,2,1,5,4,0,2,1,1,2,0,2,2,0,1,1,3,0,3,1,2,3,0,1,3,0,0,0,0,2,0,3,6,0,1,0,1,1,2,1,1,0,2,2,4,2,0,1,1,0,2,1,1,0,2,0,0,1,0,0
mod,induced-demand,Induced Demand,martig7,martig7,https://github.com/martig7,martig7/induced-demand,Induced-Demand,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,67,49,66,64
map,lima,Lima,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,kaicardenas0618/subway-builder-peru,subway-builder-peru,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,20,27,17,12,7,9,15,9,6,12,6,6,6,6,11,5,2,3,9,2,6,2,5,5,6,3,8,5,4,4,3,2,1,6,1
map,dubai,Dubai,ryandicicco,ryandicicco,https://github.com/ryandicicco,ryandicicco/subway-builder-maps,Subway-Builder-Maps,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,20,9,14,11,4,9,6,8,5,7,4,8,1,3,2,3,7,1,0,4,0,5,3,5,2,3,4,4,1,2,2,1,1,1,3,2,4,2,3,2,1,2,4,3,1,2,2,4,3,1,2,3,4,1,2,2,1,2,0,3,1,4,1,3,0,2,6,0,6,1,1,0,2,3
map,tijuana-san-diego,Tijuana-San Diego,rslurry,slurry,https://github.com/rslurry,rslurry/subwaybuilder-maps,subwaybuilder-maps,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,15,12,6,8,8,6,4,7,10,7,4,4,1,5,2,1,1,3,1,0,2,4,17,23,8,8,4,1,3,7,4,1,4,3,4,1,3,0,1,5,2,1,0,7,3,0,1,2,0,3,3,1,2,3,1,2,2,1
map,orlando,Orlando,rslurry,slurry,https://github.com/rslurry,rslurry/subwaybuilder-maps,subwaybuilder-maps,267,0,0,0,0,0,0,0,0,0,0,0,2,6,1,2,4,3,0,1,6,4,10,5,2,5,8,6,1,13,4,4,7,4,4,4,3,2,5,3,2,3,5,2,4,0,2,2,2,3,0,1,2,3,4,6,4,2,4,0,5,0,0,4,1,0,1,0,2,2,2,1,3,2,1,1,2,2,1,0,3,1,2,1,2,0,1,3,3,1,3,2,5,0,2,1,2,3,0,0,0,3,1,1,4,0,0,6,2,0,2,5,1,2,3,0,2,0,0
map,yukina-kobe-akashi,神戸 (Kōbe),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,266,32,3,4,4,10,4,3,5,2,2,4,0,2,2,4,2,3,5,7,11,6,7,8,4,7,6,4,3,14,3,5,2,12,7,3,5,0,0,0,1,2,1,0,0,1,2,0,1,3,2,0,1,3,0,2,0,2,1,1,0,0,2,1,1,1,0,0,3,1,0,1,0,0,0,0,1,0,0,2,2,0,1,0,1,0,0,1,0,0,5,0,1,0,0,2,0,4,0,0,0,0,2,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0
map,greater-chicagoland,Greater Chicagoland,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,nerdiesanders/subway-builder-gchi,subway-builder-gchi,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,23,20,7,42,47,41,26,13,18
map,south-florida,South Florida,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,kaicardenas0618/subway-builder-sfl,subway-builder-sfl,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,6,7,4,8,6,4,4,0,0,2,0,1,3,1,6,12,19,8,6,12,6,2,3,2,2,3,4,4,5,2,3,2,4,7,3,7,1,0,3,2,3,3,2,0,0,3,2,2,1,1,4,2,0,0,1,3,3,1,1,0,1,0,3,1,2,0,1,1,0,2,0,1,0,0,0,2,3,0,3,0,2,3,2,2,1,2,0,0,1,0,0
map,yukina-kitakyushu-shimonoseki,北九州 (Kitakyūshū),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,261,27,5,4,3,10,7,1,3,1,0,3,1,2,1,2,3,1,4,3,7,4,11,1,2,4,2,5,3,9,2,5,3,7,5,2,1,1,11,4,3,6,3,7,6,4,0,4,2,7,4,2,1,1,0,2,2,2,0,1,1,0,2,1,1,0,0,3,2,0,1,0,3,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,3,2,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1
map,beijing,Beijing,Kronifer,Kronifer,https://github.com/Kronifer,kronifer/sb-chinese-maps,sb-chinese-maps,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,31,32,17,10,7,8,9,4,5,22,8,5,5,2,4,4,8,2,1,3,3,2,4,4,3,7,0,4,4,4,5,1,9,6,0,1,1,4
map,bucharest-medium,Bucharest,metatablestudios,metatablestudios,https://github.com/metatablestudios,metatablestudios/subwaybuilder-romania,subwaybuilder-romania,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,18,19,15,16,9,4,47,30,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,8,12
map,opo-pt-metropolitan,"Porto, Portugal",bquelhas,bquelhas,https://github.com/bquelhas,bquelhas/subwaybuilder-map-opo,subwaybuilder-map-opo,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,37,17,10,8,8,6,4,6,7,4,7,6,2,1,3,2,3,2,1,8,6,7,1,3,4,5,7,7,4,3,3,3,1,1,0,3
map,greatertwincities,Greater Twin Cities,DanielD1909,DanielD1909,https://github.com/DanielD1909,danield1909/improvedtwincities,improvedTwinCities,244,0,0,0,0,10,8,8,5,5,5,8,7,7,5,4,5,4,2,2,7,4,7,2,1,1,1,3,1,12,6,7,2,7,3,1,2,2,3,1,3,2,1,4,0,0,2,0,3,0,2,1,0,1,4,1,1,2,1,3,1,2,5,1,0,0,2,2,0,1,1,1,0,0,0,0,2,0,5,1,0,0,1,1,0,0,1,1,0,0,2,2,0,1,1,0,2,1,0,0,1,0,0,2,2,0,0,2,0,2,1,2,0,2,1,2,1,0,0
map,naples,Naples,Maximilian284,max02,https://github.com/Maximilian284,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,243,0,0,0,0,0,0,0,23,3,0,1,2,2,2,2,7,3,1,3,6,2,8,1,2,2,2,3,2,6,4,8,4,4,3,8,7,0,0,1,3,2,1,3,3,1,1,3,1,5,0,1,3,4,2,1,3,4,2,4,1,2,1,0,1,1,1,1,1,0,2,2,1,1,1,0,2,3,2,0,1,0,1,0,1,0,2,2,2,1,3,1,0,0,1,3,1,3,0,2,0,0,3,3,2,2,2,0,0,1,1,5,1,4,0,0,0,0,3
map,yukina-tw-kaohsiung,高雄 (Kaohsiung),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,ahkimn/subwaybuilder-tw-maps,subwaybuilder-tw-maps,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,12,6,15,3,2,5,2,19,18,20,11,10,9,4,4,5,2,9,9,1,5,1,4,3,3,1,1,6,5,4,1,2,2,1,1,1,2,3,2,0,1,0
map,yukina-tw-taichung,臺中 (Taichung),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,ahkimn/subwaybuilder-tw-maps,subwaybuilder-tw-maps,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,13,6,13,2,3,12,4,17,20,24,8,12,5,6,5,6,5,4,5,5,4,2,3,3,1,1,4,0,3,1,1,0,4,1,0,0,3,2,0,0,2,1
map,jerusalem,Jerusalem,BarKuperman,BarKuperman,https://github.com/BarKuperman,barkuperman/jerusalem-sb-map,jerusalem-sb-map,227,20,3,4,6,3,2,2,5,2,0,5,2,5,1,4,5,4,1,0,7,1,8,3,1,1,3,3,0,12,21,20,0,0,0,0,0,0,0,0,3,2,0,2,3,1,1,1,2,1,1,3,3,1,2,1,0,1,0,0,3,0,3,0,2,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,2,2,1,2,0,1,2,0,2,0,1,2,0,0,1,0,2,2,0,0,0,2,1,1,1,0,1,1,0,0,0,1,0,3,0,1,0,1,0
map,yukina-pl-wroclaw,Wrocław,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,11,3,11,5,5,9,14,9,4,9,1,4,7,8,8,6,3,4,1,1,0,0,2,0,3,9,6,3,8,3,6,3,2,0,2,3,4,2,2,2,2,1,2,0,2,4,0,1,0,1,1,1,1,1,0,1,0,3,2,1
map,rhode-island,Rhode Island,rslurry,slurry,https://github.com/rslurry,rslurry/subwaybuilder-maps,subwaybuilder-maps,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,27,14,15,10,13,2,5,4,4,2,7,6,1,5,0,6,2,5,1,1,3,1,3,4,4,3,5,0,1,2,1,0,2,0,1,2,1,1,3,1,1,4,1,2,4,6,2,3,0,0,0,0,3
map,yukina-sendai,仙台 (Sendai),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,210,27,6,4,3,15,2,0,2,1,0,3,0,2,1,3,4,3,1,5,11,4,4,4,6,2,10,3,3,5,3,5,2,6,6,2,2,1,0,0,1,1,0,1,0,0,1,1,0,3,3,0,4,2,2,1,1,1,0,1,0,0,1,1,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,4,0,2,1,0,2,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
map,yukina-northern-kyushu,福北 (Fukuoka & Kitakyūshū),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,5,4,5,12,11,5,7,5,4,7,1,4,1,4,3,4,2,3,3,2,2,1,4,3,1,2,1,1,3,1,0,3,6,0,2,1,2,0,4,1,2,0,0,3,1,2,3,0,3,1,2,0,1,1,1,2,4,2,0,0,0,1,3,1,4,0,0,0,3,3,4,2,0,4,1,2,2,4,0
map,sejong-4,Sejong (40km×40km),kimth9,kimth9,https://github.com/kimth9,kimth9/sb_korean_map_pack,sb_korean_map_pack,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,14,18,5,5,11,4,12,9,0,9,2,3,4,6,1,1,0,3,6,2,1,4,0,3,3,2,0,0,0,1,3,4,0,0,0,0,1,2,1,0,6,0,0,0,1,2,1,1,3,1,0,1,0,0,1,3,1,1,0,0,4,0,0,0,0,0,0,0,1,1,2,1,0,1,1,1,0,0,1,0,1,0,0,2
map,trondheim-val,Trondheim,Valdotorium,Valdotorium,https://github.com/Valdotorium,valdotorium/railyard-maps-2,Railyard-Maps-2,199,0,0,0,0,0,0,4,0,4,0,1,0,2,1,3,3,2,0,6,13,1,7,4,1,5,4,3,0,7,1,3,3,8,4,3,5,4,1,1,1,2,3,2,1,1,9,5,4,3,2,0,0,2,3,1,2,1,2,2,2,3,1,1,0,6,2,1,1,2,1,0,0,2,1,0,3,2,1,0,0,1,2,0,0,0,0,1,1,0,2,0,0,0,1,2,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,2
map,providence,Providence,soccerjonj,soccerjonj,https://github.com/soccerjonj,soccerjonj/providence,Providence,193,11,2,3,6,7,1,2,2,3,3,5,5,6,0,6,2,2,2,1,3,2,6,1,1,1,2,4,1,6,3,3,2,5,3,1,0,2,2,2,0,1,0,3,5,0,2,1,5,1,1,1,1,1,2,2,3,1,2,1,2,2,2,2,1,1,0,1,1,2,1,1,0,1,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,1,1,0,0,1,0,1,2,0,1,0,0,1,2,1,1,0,0,0,0,0,1
