rank,id,name,author,author_alias,attribution_link,city_code,country,population,population_count,points_count,n_cells,mean_point_density,median_resident_weighted_nn_km,mean_resident_weighted_nn_km,median_worker_weighted_nn_km,mean_worker_weighted_nn_km,detail_radius_km,detail_score,playable_area_cells,median_cell_resident_density,mean_cell_resident_density,pct_cells_with_residents,median_cell_worker_density,mean_cell_worker_density,pct_cells_with_workers,median_commute_distance,mean_commute_distance,detected_center_count,polycentrism_score
133,jeju-3,Jeju (30km×30km),kimth9,kimth9,https://github.com/kimth9,CJU3,KR,654905,9400,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,jacksonville,Jacksonville,rslurry,slurry,https://github.com/rslurry,JAX,US,644217,52553,2775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,yukina-niigata,新潟 (Niigata),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,KIJ,JP,634641,14422,5697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,riviera-romagnola,Riviera Romagnola,Maximilian284,max02,https://github.com/Maximilian284,RIV,IT,630314,7433,4349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,bilbao,Bilbao,Maximilian284,max02,https://github.com/Maximilian284,ESBI,ES,627288,4933,2981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,florence,Florence,Maximilian284,max02,https://github.com/Maximilian284,FIR,IT,626808,8434,3697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,saltillo,Saltillo,rslurry,slurry,https://github.com/rslurry,SLW,MX,622810,11289,1274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,mfn-rdu,Raleigh,crumpetime,muffintime,https://github.com/crumpetime,RDU,US,618227,73872,1938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,rotterdam-the-hague,Rotterdam-The Hague,ryandicicco,ryandicicco,https://github.com/ryandicicco,RTM,NL,613773,6740,854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,yukina-nakadoori,中通り (Nakadōri),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,FKS,JP,597170,14664,6375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,yukina-bydgoszcz-torun,Bydgoszcz - Toruń,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,BZG,PL,592312,24037,16136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,yukina-cz-ostrava,Ostrava,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,OSR,CZ,579772,40759,13991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,yukina-cz-brno,Brno,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,BRQ,CZ,567216,40036,12759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,palermo,Palermo,Maximilian284,max02,https://github.com/Maximilian284,PAL,IT,566901,8946,3264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
